AREA,CODE
"Clay, MN",536
"Clay, MO",1246
"Clay, MS",2070
"Clay, NC",1067
"Clay, NE",2613
"Clay, TN",2405
"Clay, TX",2347
"Clay, WV",2369
"Clayton, GA",1236
"Clayton, IA",2078
"Clear Creek, CO",1087
"Clearfield, PA",430
"Clearwater, ID",2383
"Clearwater, MN",2543
"Cleburne, AL",2516
"Cleburne, AR",835
"Clermont, OH",214
"Cleveland, AR",1093
"Cleveland, NC",382
"Cleveland, OK",172
"Clinch, GA",2772
"Clinton, IA",602
"Clinton, IL",1635
"Clinton, IN",1985
"Clinton, KY",2353
"Clinton, MI",1423
"Clinton, MO",1856
"Clinton, NY",429
"Clinton, OH",672
"Clinton, PA",699
"Cloud, KS",2364
"Coahoma, MS",2664
"Coal, OK",1128
"Coamo, PR",2565
"Cobb, GA",1179
"Cochise, AZ",305
"Cochran, TX",3001
"Cocke, TN",1659
"Coconino, AZ",300
"Codington, SD",2484
"Coffee, AL",594
"Coffee, GA",2013
"Coffee, TN",1514
"Coffey, KS",2387
"Coke, TX",2993
"Colbert, AL",561
"Cole, MO",1418
"Coleman, TX",2682
"Coles, IL",1508
"Colfax, NE",1069
"Colfax, NM",1997
"Colleton, SC",703
"Collier, FL",1212
"Collin, TX",54
"Collingsworth, TX",3006
"Colonial Heights City, VA",959
"Colorado, TX",2494
"Colquitt, GA",2170
"Columbia, AR",854
"Columbia, FL",1451
"Columbia, GA",1326
"Columbia, NY",507
"Columbia, OR",599
"Columbia, PA",482
"Columbia, WA",2556
"Columbia, WI",544
"Columbiana, OH",347
"Columbus, NC",540
"Colusa, CA",898
"Comal, TX",1351
"Comanche, KS",3053
"Comanche, OK",318
"Comanche, TX",2300
"Concho, TX",2968
"Concordia, LA",2495
"Conecuh, AL",1030
"Conejos, CO",2400
"Contra Costa, CA",27
"Converse, WY",2108
"Conway, AR",899
"Cook, GA",1900
"Cook, IL",1156
"Cook, MN",1977
"Cooke, TX",1629
"Cooper, MO",3092
"Coos, NH",1697
"Coos, OR",508
"Coosa, AL",2530
"Copiah, MS",2187
"Cortland, NY",600
"Coryell, TX",1422
"Coshocton, OH",727
"Costilla, CO",2450
"Cotton, OK",1124
"Cottonwood, MN",2335
"Covington City, VA",2618
"Covington, AL",715
"Covington, MS",2246
"Coweta, GA",1325
"Cowley, KS",1651
"Cowlitz, WA",362
"Craig, OK",1930
"Craig, VA",1135
"Craighead, AR",385
"Crane, TX",2958
"Craven, NC",359
"Crawford, AR",515
"Crawford, GA",2325
"Crawford, IA",965
"Crawford, IL",2498
"Crawford, IN",1065
"Crawford, KS",1623
"Crawford, MI",1940
"Crawford, MO",1807
"Crawford, OH",651
"Crawford, PA",409
"Crawford, WI",1910
"Creek, OK",473
"Crenshaw, AL",1019
"Crisp, GA",2056
"Crittenden, AR",588
"Crittenden, KY",2596
"Crockett, TN",2295
"Crook, OR",904
"Crook, WY",2420
"Crosby, TX",2918
"Cross, AR",948
"Crow Wing, MN",1474
"Crowley, CO",2782
"Cullman, AL",1405
"Culpeper, VA",622
"Cumberland, IL",2646
"Cumberland, KY",2425
"Cumberland, ME",161
"Cumberland, NC",142
"Cumberland, NJ",267
"Cumberland, PA",184
"Cumberland, TN",1495
"Cumberland, VA",2471
"Cuming, NE",1085
"Currituck, NC",867
"Curry, NM",1540
"Curry, OR",886
"Custer, CO",1978
"Custer, ID",2147
"Custer, MT",2334
"Custer, NE",2587
"Custer, OK",2045
"Custer, SD",2401
"Cuyahoga, OH",22
"Dade, GA",1911
"Dade, MO",2545
"Daggett, UT",3074
"Dakota, MN",121
"Dakota, NE",902
"Dale, AL",591
"Dallam, TX",2905
"Dallas, AL",650
"Dallas, AR",1097
"Dallas, IA",491
"Dallas, MO",1906
"Dallas, TX",6
"Dane, WI",98
"Daniels, MT",3055
"Danville City, VA",660
"Dare, NC",756
"Darke, OH",568
"Darlington, SC",478
"Dauphin, PA",167
"Davidson, NC",251
"Davidson, TN",69
"Davie, NC",684
"Daviess, IN",1717
"Daviess, KY",1368
"Daviess, MO",3096
"Davis, IA",1091
"Davis, UT",1216
"Dawes, NE",2598
"Dawson, GA",1830
"Dawson, MT",2376
"Dawson, NE",859
"Dawson, TX",2853
"Day, SD",2927
"De Baca, NM",3046
"De Kalb, AL",1436
"De Kalb, IL",2566
"De Kalb, IN",1591
"De Soto, FL",1674
"De Soto, LA",2197
"De Witt, TX",2241
"DeKalb, IL",1357
"DeKalb, MO",3093
"DeSoto, MS",256
"Deaf Smith, TX",2248
"Dearborn, IN",593
"Decatur, GA",2040
"Decatur, IA",1095
"Decatur, IN",1789
"Decatur, KS",3012
"Decatur, TN",1955
"Deer Lodge, MT",2135
"Defiance, OH",702
"Dekalb, GA",1178
"Dekalb, TN",1879
"Del Norte, CA",805
"Delaware, IA",953
"Delaware, IN",1333
"Delaware, NY",609
"Delaware, OH",237
"Delaware, OK",679
"Delaware, PA",79
"Delta, CO",787
"Delta, MI",1642
"Delta, TX",2689
"Dent, MO",1996
"Denton, TX",65
"Denver, CO",76
"Des Moines, IA",690
"Deschutes, OR",266
"Desha, AR",2579
"Deuel, NE",2819
"Dewey, OK",2629
"Dewitt, IL",2506
"Dickens, TX",3031
"Dickenson, VA",981
"Dickey, ND",2711
"Dickinson, IA",970
"Dickinson, KS",1868
"Dickinson, MI",2048
"Dickson, TN",597
"Dillon, SC",2479
"Dimmit, TX",2875
"Dinwiddie, VA",1757
"District of Columbia, DC",75
"Divide, ND",3045
"Dixie, FL",1914
"Dixon, NE",1127
"Doddridge, WV",2652
"Dodge, GA",2492
"Dodge, MN",923
"Dodge, NE",1646
"Dodge, WI",410
"Dolores, CO",2814
"Dona Ana, NM",1251
"Doniphan, KS",2888
"Donley, TX",2979
"Dooly, GA",2289
"Door, WI",816
"Dorchester, MD",774
"Dorchester, SC",296
"Dougherty, GA",1374
"Douglas, CO",158
"Douglas, GA",1316
"Douglas, IL",1865
"Douglas, KS",1344
"Douglas, MN",738
"Douglas, MO",2109
"Douglas, NE",89
"Douglas, NV",616
"Douglas, OR",349
"Douglas, SD",3009
"Douglas, WA",706
"Douglas, WI",647
"Drew, AR",939
"Du Page, IL",1169
"Dubois, IN",1597
"Dubuque, IA",393
"Duchesne, UT",2255
"Dukes, MA",971
"Dundy, NE",2817
"Dunklin, MO",2182
"Dunn, ND",2982
"Dunn, WI",1578
"Duplin, NC",539
"Durham, NC",1232
"Dutchess, NY",153
"Duval, FL",1172
"Duval, TX",2861
"Dyer, TN",2173
"Eagle, CO",577
"Early, GA",2585
"East Baton Rouge, LA",1196
"East Carroll, LA",2893
"East Feliciana, LA",2697
"Eastland, TX",1880
"Eaton, MI",1354
"Eau Claire, WI",379
"Echols, GA",2795
"Ector, TX",1311
"Eddy, ND",3034
"Eddy, NM",1509
"Edgar, IL",2499
"Edgecombe, NC",547
"Edgefield, SC",824
"Edmonson, KY",2118
"Edwards, IL",1117
"Edwards, KS",3007
"Edwards, TX",3047
"Effingham, GA",1521
"Effingham, IL",1680
"El Dorado, CA",229
"El Paso, CO",72
"El Paso, TX",1175
"Elbert, CO",875
"Elbert, GA",1863
"Elk, KS",3015
"Elk, PA",781
"Elkhart, IN",1256
